Level,Date and Time,Source,Event ID,Task Category
Information,31/10/2021 08.50.32,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 65 to 67.

Reason: 3"
Information,31/10/2021 08.50.32,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Input Mouse."
Information,31/10/2021 08.50.01,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Idle Timeout."
Information,31/10/2021 08.50.01,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 64 to 65.

Reason: 3"
Information,31/10/2021 08.44.05,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.353.116.0)
Information,31/10/2021 08.43.52,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.353.116.0)
Information,31/10/2021 08.43.52,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,31/10/2021 08.43.50,googledrivefs3525,1,None,Wake from sleep detected.
Information,31/10/2021 08.43.49,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2021‎-‎10‎-‎31T01:43:49.967071000Z from ‎2021‎-‎10‎-‎31T01:43:49.966895100Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 15740).

RTC time: ‎2021‎-‎10‎-‎31T08:43:49.967071000Z
Current time zone bias: -420
RTC time is in UTC: false
System time was based on RTC time: false"
Information,31/10/2021 08.43.49,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is -420.
Information,31/10/2021 08.43.49,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2021‎-‎10‎-‎31T01:43:49.966053200Z from ‎2021‎-‎10‎-‎31T01:43:49.965916700Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 15740).

RTC time: ‎2021‎-‎10‎-‎31T08:43:49.966053200Z
Current time zone bias: -420
RTC time is in UTC: false
System time was based on RTC time: false"
Information,31/10/2021 08.43.49,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is -420.
Information,31/10/2021 08.43.49,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|[::]:123->[64:ff9b::3494:72bc]:123) with reference id 2163861843. Current local stratum number is 4."
Information,31/10/2021 08.43.49,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2021‎-‎10‎-‎31T01:43:49.965294400Z from ‎2021‎-‎10‎-‎31T01:43:38.306434000Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 15740).

RTC time: ‎2021‎-‎10‎-‎31T08:43:49.965294400Z
Current time zone bias: -420
RTC time is in UTC: false
System time was based on RTC time: false"
Information,31/10/2021 08.43.49,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is -420.
Information,31/10/2021 08.43.22,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|[::]:123->[64:ff9b::3494:72bc]:123)."
Error,31/10/2021 08.43.05,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{D8032E0B-8E3F-4A09-BE2E-9E394DDD2F98} because another computer on the network has the same name.  The server could not start.
Information,31/10/2021 08.42.59,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2021‎-‎10‎-‎30T16:17:24.794177600Z
Wake Time: ‎2021‎-‎10‎-‎31T01:42:54.823451300Z

Wake Source: Unknown"
Error,31/10/2021 08.42.59,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{F33BDF9B-BEA7-4AD3-9A8C-DD89DDFBAECA} because another computer on the network has the same name.  The server could not start.
Information,31/10/2021 08.42.56,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\DriverStore\FileRepository\smartstandbycomponent.inf_amd64_5c67d36ae277810f\SmartStandby.exe (process ID:5348) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}
Information,31/10/2021 08.42.56,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 62 to 64.

Reason: 3"
Information,31/10/2021 08.42.56,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Lid."
Warning,31/10/2021 08.42.55,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Information,31/10/2021 08.42.55,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2021‎-‎10‎-‎31T01:42:55.227236700Z from ‎2021‎-‎10‎-‎31T01:42:55.226372100Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 15740).

RTC time: ‎2021‎-‎10‎-‎31T08:42:55.227236700Z
Current time zone bias: -420
RTC time is in UTC: false
System time was based on RTC time: false"
Information,31/10/2021 08.42.55,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is -420.
Information,31/10/2021 08.42.55,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during start-up.
Error,31/10/2021 08.42.54,VBoxNetLwf,12,None,The driver detected an internal driver error on \Device\VBoxNetLwf.
Information,31/10/2021 08.42.54,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Sleep, Hibernate, or Shutdown."
Information,31/10/2021 08.42.54,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 61 to 62.

Reason: 3"
Information,31/10/2021 08.42.54,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,31/10/2021 08.42.54,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,31/10/2021 08.42.54,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Error,31/10/2021 08.42.54,Microsoft-Windows-NDIS,10317,PnP,"Miniport Microsoft Wi-Fi Direct Virtual Adapter #4, {95162730-380d-4edf-ac66-a0dfc4886950}, had event Fatal error: The miniport has failed a power transition to operational power"
Information,31/10/2021 08.42.54,googledrivefs3525,1,None,Wake from sleep detected.
Information,31/10/2021 08.42.53,Netwtw06,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,31/10/2021 08.42.52,Win32k,701,None,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Warning,31/10/2021 08.42.52,Win32k,701,None,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Information,31/10/2021 08.42.52,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2021‎-‎10‎-‎31T01:42:52.500000000Z from ‎2021‎-‎10‎-‎30T16:17:41.291691200Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2021‎-‎10‎-‎31T08:42:52.500000000Z
Current time zone bias: -420
RTC time is in UTC: false
System time was based on RTC time: false"
Information,30/10/2021 23.17.41,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,30/10/2021 23.17.41,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->52.148.114.188:123) with reference id 3161625652. Current local stratum number is 4."
Information,30/10/2021 23.17.35,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Hibernate from Sleep - Fixed Timeout"
Error,30/10/2021 23.17.34,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{D8032E0B-8E3F-4A09-BE2E-9E394DDD2F98} because another computer on the network has the same name.  The server could not start.
Information,30/10/2021 23.17.31,Microsoft-Windows-UserModePowerService,12,(10),Process C:\Windows\System32\DriverStore\FileRepository\smartstandbycomponent.inf_amd64_5c67d36ae277810f\SmartStandby.exe (process ID:5348) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}
Information,30/10/2021 23.17.27,googledrivefs3525,1,None,Wake from sleep detected.
Information,30/10/2021 23.17.26,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 60 to 61.

Reason: 3"
Information,30/10/2021 23.17.26,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Sleep, Hibernate, or Shutdown."
Information,30/10/2021 23.17.25,googledrivefs3525,1,None,Warning: no matching IRPs found for reply.
Information,30/10/2021 23.17.25,googledrivefs3525,1,None,Warning: no matching IRPs found for reply.
Information,30/10/2021 23.17.25,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->52.148.114.188:123)."
Information,30/10/2021 23.17.24,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Connected, Reason: None"
Error,30/10/2021 23.17.24,VBoxNetLwf,12,None,The driver detected an internal driver error on \Device\VBoxNetLwf.
Information,30/10/2021 21.52.33,googledrivefs3525,1,None,Wake from sleep detected.
Information,30/10/2021 21.51.39,googledrivefs3525,1,None,Wake from sleep detected.
Error,30/10/2021 21.47.42,Server,2505,None,The server could not bind to the transport \Device\NetBT_Tcpip_{D8032E0B-8E3F-4A09-BE2E-9E394DDD2F98} because another computer on the network has the same name.  The server could not start.
